Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Campilobacterota	Campylobacteria	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.356547323513813	0.000697662829521104	0.0697662829521104	14
Bacteria	Campilobacterota	Campylobacteria	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.845098040014257	0.00204422969708233	0.204422969708233	66
Bacteria	Campilobacterota	Campylobacteria	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.1627272974977	0.000340901343151292	0.0340901343151292	5
Bacteria	Campilobacterota	Campylobacteria	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.57139117156151	0.000947807405535195	0.0947807405535195	30
Bacteria	Campilobacterota	Campylobacteria	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.259637310505756	0.000339648275341535	0.0339648275341535	9
Bacteria	Campilobacterota	Campylobacteria	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.320335150859368	0.000566491998300524	0.0566491998300524	12
Bacteria	Campilobacterota	Campylobacteria	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0.213879819945081	0.00039849709666401	0.039849709666401	7
Bacteria	Campilobacterota	Campylobacteria	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
Bacteria	Campilobacterota	Campylobacteria	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
