Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.59670702968145	0.294319265617549	29.4319265617549	39500
Bacteria	Bacteroidota	E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.48142829511456	0.245776465051364	24.5776465051364	30289
Bacteria	Bacteroidota	E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.46572479806533	0.275779059558761	27.5779059558761	29213
Bacteria	Bacteroidota	E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.34933581811725	0.222524325993208	22.2524325993208	22343
Bacteria	Bacteroidota	E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.46440011588987	0.298916167173003	29.8916167173003	29124
Bacteria	Bacteroidota	E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.39996776558859	0.198857876061336	19.8857876061336	25107
Bacteria	Bacteroidota	E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.46010065453885	0.23104348940807	23.104348940807	28837
Bacteria	Campilobacterota	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.31889771462749	0.0183327293138043	1.83327293138043	2074
Bacteria	Campilobacterota	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.28103336724773	0.0188146754468485	1.88146754468485	1900
Bacteria	Campilobacterota	A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.51201696949613	0.0277923080221241	2.77923080221241	3241
